deal	ours_ms	dds_ms	ref_ms
1086	137.687	211.663	134.352
1087	104.040	65.295	96.023
1088	142.749	68.468	130.160
1089	225.748	253.775	202.861
1090	36.714	54.594	36.460
1091	98.789	89.361	89.447
1092	129.493	135.185	121.243
1093	122.801	144.860	117.619
1094	26.400	23.295	27.095
1095	43.791	46.045	43.514
1096	135.444	196.948	133.970
1097	49.806	38.206	48.108
1098	17.470	14.556	18.241
1099	60.003	52.822	56.281
1100	35.795	29.739	34.377
1101	36.256	41.914	37.223
1102	11.434	10.985	11.331
1103	236.482	311.027	225.762
1104	21.562	18.946	21.448
1105	108.356	86.477	102.617
1106	37.651	48.347	38.783
1107	17.619	27.847	16.951
1108	308.597	353.372	285.062
1109	23.425	18.068	22.624
1110	69.984	32.168	67.775
1111	202.644	143.814	179.854
1112	128.972	64.943	98.855
1113	144.129	114.386	131.289
1114	133.999	149.137	133.141
1115	198.719	133.218	167.826
1116	524.197	444.360	459.609
1117	102.931	78.724	96.916
1118	63.394	63.017	61.210
1119	136.969	79.765	131.159
1120	79.394	79.030	73.575
1121	31.376	33.936	31.769
1122	36.096	34.975	36.018
1123	136.699	67.926	114.801
1124	255.855	223.722	233.012
1125	5.287	6.138	5.625
1126	143.472	56.918	131.177
1127	80.174	107.263	75.989
1128	95.455	73.113	88.425
1129	101.716	200.027	98.402
1130	34.308	7.352	33.583
1131	733.313	512.470	650.987
1132	224.175	280.715	202.366
1133	21.706	18.071	21.496
1134	53.075	39.105	48.596
1135	75.578	78.877	74.209
1136	17.201	17.345	17.671
1137	78.370	46.005	73.092
1138	435.487	438.169	395.201
1139	188.509	105.705	174.947
1140	162.021	140.368	146.804
1141	62.847	53.805	63.992
1142	34.599	37.088	34.175
1143	148.478	82.657	138.851
1144	252.992	237.161	224.094
1145	22.929	26.246	23.330
1146	10.202	6.596	11.241
1147	28.546	33.880	29.093
1148	65.666	49.393	62.800
1149	83.113	31.568	81.286
1150	46.787	17.210	46.959
1151	44.330	60.848	43.593
1152	19.180	27.314	19.343
1153	27.050	24.052	27.374
1154	81.374	60.676	74.783
1155	558.000	703.227	420.719
1156	129.406	60.636	115.684
1157	132.028	248.210	125.680
1158	33.754	33.033	32.883
1159	196.318	112.217	163.008
1160	1304.266	1120.414	1151.290
1161	83.173	76.706	78.958
1162	94.828	53.078	89.410
1163	249.983	108.387	203.163
1164	72.972	67.758	66.943
1165	103.360	98.722	96.101
1166	226.792	137.452	212.164
1167	185.803	93.927	170.795
1168	64.485	52.790	58.498
1169	132.779	167.818	129.695
1170	49.856	45.975	48.176
1171	178.744	201.884	157.298
1172	42.532	28.625	43.244
1173	92.257	53.559	88.823
1174	154.912	68.933	140.159
1175	23.365	21.167	22.752
1176	113.312	61.656	101.601
1177	17.431	12.636	18.900
1178	27.580	23.899	28.632
1179	25.571	21.261	25.771
1180	389.251	318.494	358.610
1181	123.714	108.194	119.539
1182	128.197	48.685	116.553
1183	107.285	132.034	102.247
1184	207.271	249.321	176.281
1185	17.729	13.916	19.396
1186	41.372	31.536	41.414
1187	111.480	90.605	101.968
1188	121.230	53.839	115.287
1189	25.525	37.306	27.649
1190	166.567	126.004	153.726
1191	64.412	61.492	64.270
1192	53.881	36.632	55.878
1193	124.531	149.434	120.882
1194	38.037	48.322	38.645
1195	143.097	174.993	129.520
1196	10.511	15.634	12.078
1197	97.311	107.993	93.453
1198	99.924	176.798	93.099
1199	128.319	147.142	122.567
1200	244.465	208.341	226.379
1201	70.519	52.075	63.068
1202	31.079	16.880	31.623
1203	87.635	76.045	85.730
1204	26.884	24.051	27.020
1205	217.593	230.962	202.653
1206	15.152	12.965	15.517
1207	23.021	25.472	21.774
1208	54.791	39.173	51.641
1209	59.959	77.215	56.771
1210	31.018	38.679	31.104
1211	93.870	75.554	89.756
1212	137.024	149.528	133.180
1213	135.077	127.234	117.991
1214	17.677	17.594	18.062
1215	159.661	170.008	144.990
1216	27.891	36.432	27.173
1217	307.554	279.679	284.871
1218	96.812	39.750	92.717
1219	55.788	84.826	56.318
1220	157.465	160.864	135.732
1221	64.353	44.704	64.252
1222	12.926	32.905	13.735
1223	421.025	342.404	383.634
1224	71.426	69.687	72.650
1225	206.020	197.672	199.390
1226	26.341	17.030	26.600
1227	28.277	20.970	27.638
1228	184.598	215.787	177.677
1229	90.999	79.638	91.728
1230	165.659	88.234	146.439
1231	381.527	285.630	329.460
1232	294.682	285.644	263.130
1233	116.934	83.935	103.858
1234	124.954	130.916	117.886
1235	77.131	89.088	71.976
1236	90.869	39.732	87.264
1237	222.462	185.560	196.921
1238	226.779	139.128	202.270
1239	52.429	57.078	51.078
1240	45.958	32.637	45.611
1241	62.693	30.556	56.138
1242	3.438	2.498	3.799
1243	35.929	41.911	35.899
1244	564.874	427.201	519.342
1245	104.358	97.188	98.024
1246	13.672	13.715	14.353
1247	72.551	51.232	71.331
1248	35.763	23.614	34.100
1249	47.117	37.796	45.726
1250	94.226	86.797	88.827
1251	102.224	56.570	101.443
1252	109.871	61.784	101.708
1253	51.376	36.274	48.579
1254	26.848	34.973	27.294
1255	15.204	11.909	15.236
1256	13.113	12.837	12.486
1257	69.351	60.728	58.543
1258	70.887	58.300	70.984
1259	10.662	10.926	11.126
1260	41.865	28.353	40.234
1261	137.429	183.185	124.486
1262	246.530	268.460	230.099
1263	147.031	208.530	144.618
1264	47.133	45.233	46.481
1265	104.239	49.365	89.233
1266	12.421	14.185	12.650
1267	48.176	33.139	45.205
1268	94.062	131.440	88.124
1269	51.644	60.741	48.836
1270	249.225	256.362	220.774
1271	504.576	557.140	452.984
1272	71.068	59.457	71.438
1273	324.726	316.410	297.776
1274	48.174	41.238	48.533
1275	57.115	125.711	56.879
1276	20.588	37.721	21.639
1277	40.606	30.094	40.384
1278	82.572	84.899	70.487
1279	11.012	17.629	12.093
1280	21.361	13.636	20.734
1281	6.209	5.611	6.939
1282	24.084	14.790	24.762
1283	75.893	60.550	70.029
1284	90.344	82.834	82.132
1285	40.604	42.185	40.223
1286	133.966	183.252	135.159
1287	36.338	27.040	35.489
1288	167.655	111.061	142.856
1289	48.845	72.199	46.209
1290	38.349	33.091	37.587
1291	100.756	108.374	93.245
1292	49.523	35.782	50.782
1293	166.659	176.449	151.102
1294	40.142	31.913	40.511
1295	244.224	246.026	228.032
1296	321.460	297.743	288.366
1297	184.897	165.143	166.920
1298	245.207	138.345	227.737
1299	56.272	160.301	49.844
1300	39.863	49.505	39.426
1301	75.967	49.852	70.145
1302	70.237	66.368	68.879
1303	258.969	258.053	241.324
1304	46.642	29.223	44.493
1305	37.626	33.396	37.039
1306	30.156	21.755	28.749
1307	243.550	228.479	218.186
1308	175.108	126.035	170.986
1309	143.997	153.625	130.399
1310	18.383	23.252	17.314
1311	31.818	46.773	33.095
1312	70.162	53.504	61.859
1313	146.139	139.706	137.444
1314	96.062	109.990	88.362
1315	120.691	100.694	114.047
1316	32.181	18.624	31.078
1317	284.124	163.853	263.459
1318	130.447	111.312	120.347
1319	236.130	123.056	217.726
1320	220.088	217.758	210.325
1321	272.173	196.198	236.209
1322	38.865	44.205	36.376
1323	48.067	38.193	43.179
1324	171.708	160.110	158.651
1325	11.454	10.449	11.820
1326	64.227	68.954	60.791
1327	7.316	6.795	7.354
1328	195.108	307.395	187.922
1329	68.820	44.059	64.734
1330	106.852	58.163	95.795
1331	67.433	41.455	65.441
1332	97.696	155.268	92.486
1333	53.911	55.999	50.485
1334	100.162	140.141	99.009
1335	65.703	128.925	64.622
1336	75.215	58.974	69.929
1337	48.601	25.783	48.592
1338	228.347	215.351	211.061
1339	145.116	132.133	135.601
1340	74.812	54.462	72.474
1341	184.083	90.328	168.602
1342	14.788	11.546	15.896
1343	97.306	81.018	93.005
1344	13.984	12.114	14.739
1345	83.843	57.958	77.474
1346	43.458	35.426	41.794
1347	105.831	90.158	98.883
1348	92.151	75.680	87.670
1349	50.919	46.163	52.745
1350	54.338	32.715	53.059
1351	60.433	79.196	55.537
1352	66.990	76.402	62.995
1353	68.716	56.167	65.124
1354	33.245	29.623	32.936
1355	270.347	235.811	236.068
1356	209.128	308.268	197.409
1357	126.640	99.259	124.610
1358	126.518	147.180	117.348
1359	25.501	12.462	24.857
1360	9.806	8.223	10.306
1361	25.080	24.937	25.464
1362	664.944	255.841	613.002
1363	150.118	195.868	140.705
1364	67.415	47.282	64.963
1365	31.368	21.378	31.644
1366	176.257	126.330	160.407
1367	70.583	59.802	67.348
1368	134.004	162.016	120.667
1369	30.570	60.117	30.558
1370	46.053	67.231	46.230
1371	219.919	178.372	199.174
1372	137.170	73.234	121.522
1373	157.962	183.627	141.166
1374	284.047	570.540	267.028
1375	218.684	130.114	188.371
1376	52.514	72.788	50.888
1377	119.324	94.817	107.378
1378	19.787	24.201	20.672
1379	15.529	20.569	16.257
1380	110.678	108.666	104.798
1381	43.268	58.869	42.370
1382	155.908	122.291	142.252
1383	51.775	34.409	49.369
1384	119.683	115.056	105.210
1385	108.898	83.513	96.837
1386	11.718	14.701	12.950
1387	85.804	34.714	85.118
1388	39.366	49.538	37.313
1389	117.514	94.492	112.855
1390	196.388	219.590	181.416
1391	83.376	83.174	81.156
1392	953.616	493.085	876.154
1393	120.106	95.877	109.972
1394	53.007	27.650	52.973
1395	255.060	216.343	232.501
1396	288.534	283.553	249.288
1397	13.156	10.820	13.945
1398	38.011	39.351	37.532
1399	83.710	146.464	77.894
1400	114.755	80.200	105.828
1401	76.938	59.465	78.122
1402	31.364	27.111	31.710
1403	54.209	44.493	49.609
1404	51.994	38.335	48.747
1405	225.939	196.185	194.997
1406	350.323	467.308	315.792
1407	114.817	135.742	110.759
1408	76.252	45.934	74.526
1409	401.735	225.073	368.909
1410	15.570	13.077	15.588
1411	136.807	172.545	129.396
1412	62.932	62.995	63.717
1413	102.116	53.747	94.617
1414	45.652	38.814	45.323
1415	27.547	13.155	26.492
1416	56.125	61.371	54.200
1417	52.542	81.001	48.218
1418	93.588	76.408	87.748
1419	36.826	33.483	38.590
1420	24.062	28.925	25.033
1421	25.650	30.695	25.640
1422	57.672	41.162	52.727
1423	34.055	18.648	33.044
1424	8.105	13.718	8.197
1425	36.294	33.673	37.122
1426	221.502	200.066	210.310
1427	117.312	175.949	102.980
1428	27.122	36.987	26.451
1429	16.644	24.704	16.631
1430	7.832	4.986	8.356
1431	42.627	66.660	41.435
1432	47.006	31.780	45.182
1433	89.084	51.679	83.397
1434	95.270	69.998	92.684
1435	784.375	1134.016	638.260
1436	96.734	58.348	87.274
1437	28.026	26.759	28.796
1438	47.828	172.960	46.244
1439	63.575	40.781	58.778
1440	134.844	69.778	124.339
1441	56.099	60.303	53.616
1442	33.019	31.164	33.871
1443	79.459	66.182	68.873
1444	23.536	18.768	24.205
1445	83.064	96.236	81.496
1446	62.964	56.545	61.073
1447	20.392	36.123	21.057
1448	39.483	59.327	37.982
1449	5.430	5.699	5.899
1450	409.519	256.149	387.208
1451	56.131	75.717	54.916
1452	182.851	297.213	168.387
1453	134.152	89.594	123.416
1454	54.670	55.891	51.925
1455	45.556	62.000	41.388
1456	92.398	120.996	85.561
1457	201.140	168.577	184.419
1458	139.456	88.633	127.439
1459	57.455	35.454	53.958
1460	407.288	289.552	361.286
1461	91.905	77.080	89.066
1462	112.143	77.941	106.301
1463	104.429	90.284	100.863
1464	255.246	463.050	234.894
1465	24.758	24.553	24.814
1466	252.657	173.376	219.795
1467	90.858	74.152	90.274
1468	191.574	109.102	155.515
1469	49.696	45.704	48.371
1470	178.044	144.243	152.818
1471	208.642	204.808	184.856
1472	43.879	33.989	42.581
1473	223.903	251.952	201.922
1474	140.779	96.165	129.124
1475	25.770	21.664	25.277
1476	28.039	28.530	28.634
1477	229.286	139.789	215.097
1478	103.589	145.440	99.721
1479	9.662	12.784	9.943
1480	25.076	18.866	25.506
1481	129.421	112.775	115.313
1482	15.223	8.537	15.509
1483	85.267	67.851	78.982
1484	122.045	153.230	112.188
1485	54.729	87.903	51.034
1486	42.673	22.628	41.810
1487	61.974	54.675	60.691
1488	14.083	16.290	13.434
1489	68.526	117.497	64.563
1490	204.092	202.656	194.822
1491	123.334	75.212	102.895
1492	40.531	59.097	40.113
1493	20.841	11.706	20.897
1494	93.348	79.753	82.825
1495	265.822	298.751	250.909
1496	221.741	168.742	202.387
1497	98.645	135.787	90.165
1498	67.182	55.956	61.544
1499	45.552	47.491	43.908
1500	57.919	33.895	50.043
1501	207.083	233.555	211.768
1502	100.218	72.798	102.095
1503	286.275	267.659	264.994
1504	44.961	49.072	44.084
1505	56.765	23.954	52.377
1506	855.311	605.782	770.349
1507	53.109	51.942	52.455
1508	53.078	55.934	52.218
1509	51.156	63.204	51.934
1510	53.374	86.268	49.305
1511	193.676	156.908	182.838
